Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","BMU","Bermuda","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","7546","X","Figure from international organizations",""
"MK","Macro Indicators","BMU","Bermuda","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","7807.641602","E","Estimated value",""
"MK","Macro Indicators","BOL","Bolivia (Plurinational State of)","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","40895.322844","X","Figure from international organizations",""
"MK","Macro Indicators","BOL","Bolivia (Plurinational State of)","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","36629.843805","X","Figure from international organizations",""
"MK","Macro Indicators","BOL","Bolivia (Plurinational State of)","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","40406.111695","X","Figure from international organizations",""
"MK","Macro Indicators","BOL","Bolivia (Plurinational State of)","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","44008.282878","X","Figure from international organizations",""
"MK","Macro Indicators","BRA","Brazil","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1881458.564748","X","Figure from international organizations",""
"MK","Macro Indicators","BRA","Brazil","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1476107.292037","X","Figure from international organizations",""
"MK","Macro Indicators","BRA","Brazil","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","1649622.886218","X","Figure from international organizations",""
"MK","Macro Indicators","BRA","Brazil","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","1920095.477164","X","Figure from international organizations",""
"MK","Macro Indicators","BRA","Brazil","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","2136919.783907","E","Estimated value",""
"MK","Macro Indicators","VGB","British Virgin Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1513.63","X","Figure from international organizations",""
"MK","Macro Indicators","VGB","British Virgin Islands","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1428.75","X","Figure from international organizations",""
"MK","Macro Indicators","VGB","British Virgin Islands","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","1460.116486","X","Figure from international organizations",""
"MK","Macro Indicators","VGB","British Virgin Islands","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","1471.233257","X","Figure from international organizations",""
"MK","Macro Indicators","VGB","British Virgin Islands","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","1532.645874","E","Estimated value",""
"MK","Macro Indicators","CAN","Canada","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1743645.481081","X","Figure from international organizations",""
"MK","Macro Indicators","CAN","Canada","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1647598.402303","X","Figure from international organizations",""
"MK","Macro Indicators","CAN","Canada","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","2001486.745424","X","Figure from international organizations",""
"MK","Macro Indicators","CAN","Canada","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","2137939.220075","X","Figure from international organizations",""
"MK","Macro Indicators","CAN","Canada","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","2101647.88874","E","Estimated value",""
"MK","Macro Indicators","CYM","Cayman Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","5941.896666","X","Figure from international organizations",""
"MK","Macro Indicators","CYM","Cayman Islands","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","5647.225069","X","Figure from international organizations",""
"MK","Macro Indicators","CYM","Cayman Islands","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","6028.373642","X","Figure from international organizations",""
"MK","Macro Indicators","CYM","Cayman Islands","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","6281.102622","X","Figure from international organizations",""
"MK","Macro Indicators","CYM","Cayman Islands","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","6607.02428","E","Estimated value",""
"MK","Macro Indicators","CHL","Chile","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","278493.308134","X","Figure from international organizations",""
"MK","Macro Indicators","CHL","Chile","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","254096.103516","X","Figure from international organizations",""
"MK","Macro Indicators","CHL","Chile","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","316713.577509","X","Figure from international organizations",""
"MK","Macro Indicators","CHL","Chile","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","300686.006235","X","Figure from international organizations",""
"MK","Macro Indicators","CHL","Chile","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","346343.385556","E","Estimated value",""
"MK","Macro Indicators","COL","Colombia","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","323109.540252","X","Figure from international organizations",""
"MK","Macro Indicators","COL","Colombia","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","270035.563128","X","Figure from international organizations",""
"MK","Macro Indicators","COL","Colombia","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","318567.486717","X","Figure from international organizations",""
"MK","Macro Indicators","COL","Colombia","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","343939.431021","X","Figure from international organizations",""
"MK","Macro Indicators","COL","Colombia","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","368806.899979","E","Estimated value",""
"MK","Macro Indicators","CRI","Costa Rica","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","64417.670556","X","Figure from international organizations",""
"MK","Macro Indicators","CRI","Costa Rica","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","62395.610764","X","Figure from international organizations",""
"MK","Macro Indicators","CRI","Costa Rica","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","64616.482168","X","Figure from international organizations",""
"MK","Macro Indicators","CRI","Costa Rica","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","68380.838316","X","Figure from international organizations",""
"MK","Macro Indicators","CRI","Costa Rica","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","86017.269178","E","Estimated value",""
"MK","Macro Indicators","CUB","Cuba","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","103428","X","Figure from international organizations",""
"MK","Macro Indicators","CUB","Cuba","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","107352","X","Figure from international organizations",""
"MK","Macro Indicators","CUB","Cuba","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","126693.048651","X","Figure from international organizations",""
"MK","Macro Indicators","CUB","Cuba","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","147193.876305","X","Figure from international organizations",""
"MK","Macro Indicators","CUW","Curaçao","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","3026.124116","X","Figure from international organizations",""
"MK","Macro Indicators","CUW","Curaçao","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","2534.327593","X","Figure from international organizations",""
"MK","Macro Indicators","CUW","Curaçao","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","2739.59436","X","Figure from international organizations",""
"MK","Macro Indicators","CUW","Curaçao","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","3075.180835","X","Figure from international organizations",""
"MK","Macro Indicators","CUW","Curaçao","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","3114.987779","E","Estimated value",""
"MK","Macro Indicators","DMA","Dominica","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","611.537037","X","Figure from international organizations",""
"MK","Macro Indicators","DMA","Dominica","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","506.614815","X","Figure from international organizations",""
"MK","Macro Indicators","DMA","Dominica","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","555.266667","X","Figure from international organizations",""
"MK","Macro Indicators","DMA","Dominica","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","612.048148","X","Figure from international organizations",""
"MK","Macro Indicators","DMA","Dominica","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","681.742304","E","Estimated value",""
"MK","Macro Indicators","DOM","Dominican Republic","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","88941.371981","X","Figure from international organizations",""
"MK","Macro Indicators","DOM","Dominican Republic","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","78844.655832","X","Figure from international organizations",""
"MK","Macro Indicators","DOM","Dominican Republic","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","94243.426487","X","Figure from international organizations",""
"MK","Macro Indicators","DOM","Dominican Republic","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","113537.385335","X","Figure from international organizations",""
"MK","Macro Indicators","DOM","Dominican Republic","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","122410.179659","E","Estimated value",""
"MK","Macro Indicators","ECU","Ecuador","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","108108.009","X","Figure from international organizations",""
"MK","Macro Indicators","ECU","Ecuador","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","99291.124","X","Figure from international organizations",""
"MK","Macro Indicators","ECU","Ecuador","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","106165.866","X","Figure from international organizations",""
"MK","Macro Indicators","ECU","Ecuador","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","115049.476","X","Figure from international organizations",""
"MK","Macro Indicators","ECU","Ecuador","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","119924.939786","E","Estimated value",""
"MK","Macro Indicators","SLV","El Salvador","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","26881.136766","X","Figure from international organizations",""
"MK","Macro Indicators","SLV","El Salvador","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","24930.085027","X","Figure from international organizations",""
"MK","Macro Indicators","SLV","El Salvador","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","29451.248081","X","Figure from international organizations",""
"MK","Macro Indicators","SLV","El Salvador","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","32488.71532","X","Figure from international organizations",""
"MK","Macro Indicators","SLV","El Salvador","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","34695.748125","E","Estimated value",""
"MK","Macro Indicators","GRL","Greenland","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","2997.310145","X","Figure from international organizations",""
"MK","Macro Indicators","GRL","Greenland","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","3082.884557","X","Figure from international organizations",""
"MK","Macro Indicators","GRL","Greenland","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","3235.809462","X","Figure from international organizations",""
"MK","Macro Indicators","GRL","Greenland","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","2926.118824","X","Figure from international organizations",""
"MK","Macro Indicators","GRL","Greenland","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","3152.255594","E","Estimated value",""
"MK","Macro Indicators","GRD","Grenada","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1213.485185","X","Figure from international organizations",""
"MK","Macro Indicators","GRD","Grenada","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1043.411111","X","Figure from international organizations",""
"MK","Macro Indicators","GRD","Grenada","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","1122.819683","X","Figure from international organizations",""
"MK","Macro Indicators","GRD","Grenada","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","1192.821302","X","Figure from international organizations",""
"MK","Macro Indicators","GRD","Grenada","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","1273.89761","E","Estimated value",""
"MK","Macro Indicators","GTM","Guatemala","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","77172.313913","X","Figure from international organizations",""
"MK","Macro Indicators","GTM","Guatemala","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","77715.183068","X","Figure from international organizations",""
"MK","Macro Indicators","GTM","Guatemala","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","86053.079765","X","Figure from international organizations",""
"MK","Macro Indicators","GTM","Guatemala","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","95003.333377","X","Figure from international organizations",""
"MK","Macro Indicators","GTM","Guatemala","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","103359.72691","E","Estimated value",""
"MK","Macro Indicators","GUY","Guyana","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","5173.760192","X","Figure from international organizations",""
"MK","Macro Indicators","GUY","Guyana","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","5471.256595","X","Figure from international organizations",""
"MK","Macro Indicators","GUY","Guyana","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","8041.36211","X","Figure from international organizations",""
"MK","Macro Indicators","GUY","Guyana","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","14718.388489","X","Figure from international organizations",""
"MK","Macro Indicators","GUY","Guyana","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","16531.264977","E","Estimated value",""
"MK","Macro Indicators","HTI","Haiti","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","14065.354558","X","Figure from international organizations",""
"MK","Macro Indicators","HTI","Haiti","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","16547.75979","X","Figure from international organizations",""
"MK","Macro Indicators","HTI","Haiti","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","19043.737282","X","Figure from international organizations",""
"MK","Macro Indicators","HTI","Haiti","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","18751.270946","X","Figure from international organizations",""
"MK","Macro Indicators","HTI","Haiti","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","22287.031442","E","Estimated value",""
"MK","Macro Indicators","HND","Honduras","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","25089.949349","X","Figure from international organizations",""
"MK","Macro Indicators","HND","Honduras","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","23827.859695","X","Figure from international organizations",""
"MK","Macro Indicators","HND","Honduras","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","28488.721296","X","Figure from international organizations",""
